rank,candidate_id,score,title
326,CAND_0010770,38.41,Recommendation Systems Engineer
327,CAND_0096104,38.4,AI Specialist
328,CAND_0002426,38.38,Data Scientist
329,CAND_0046924,38.37,Computer Vision Engineer
330,CAND_0012837,38.36,Junior ML Engineer
331,CAND_0035315,38.35,Data Scientist
332,CAND_0065277,38.34,Computer Vision Engineer
333,CAND_0007596,38.33,Junior ML Engineer
334,CAND_0028908,38.33,Junior ML Engineer
335,CAND_0000273,38.32,ML Engineer
336,CAND_0003609,38.31,Senior Software Engineer (ML)
337,CAND_0087744,38.28,Senior Software Engineer (ML)
338,CAND_0044262,38.27,Data Scientist
339,CAND_0098454,38.25,AI Specialist
340,CAND_0008202,38.2,Senior Software Engineer (ML)
341,CAND_0099269,38.2,Data Scientist
342,CAND_0001405,38.16,Data Scientist
343,CAND_0058287,38.16,Computer Vision Engineer
344,CAND_0014715,38.09,AI Specialist
345,CAND_0070524,38.09,Junior ML Engineer
346,CAND_0015065,38.08,AI Research Engineer
347,CAND_0042370,38.04,Data Scientist
348,CAND_0080472,38.04,Junior ML Engineer
349,CAND_0072091,38.02,ML Engineer
350,CAND_0033911,38.01,Data Scientist
351,CAND_0045141,38.0,Data Scientist
352,CAND_0067403,38.0,Junior ML Engineer
353,CAND_0097176,37.98,ML Engineer
354,CAND_0026410,37.94,Computer Vision Engineer
355,CAND_0036121,37.93,ML Engineer
356,CAND_0038099,37.93,Junior ML Engineer
357,CAND_0087630,37.93,AI Engineer
358,CAND_0005303,37.87,Junior ML Engineer
359,CAND_0092255,37.86,ML Engineer
360,CAND_0035764,37.8,Senior Software Engineer (ML)
361,CAND_0055139,37.79,ML Engineer
362,CAND_0009236,37.76,AI Specialist
363,CAND_0081480,37.76,Computer Vision Engineer
364,CAND_0072020,37.72,Senior Software Engineer (ML)
365,CAND_0023583,37.71,ML Engineer
366,CAND_0010000,37.7,AI Research Engineer
367,CAND_0080344,37.7,Senior Software Engineer (ML)
368,CAND_0083852,37.7,Data Scientist
369,CAND_0086028,37.64,AI Research Engineer
370,CAND_0093193,37.64,Senior Machine Learning Engineer
371,CAND_0003841,37.61,ML Engineer
372,CAND_0091745,37.6,Junior ML Engineer
373,CAND_0046108,37.58,ML Engineer
374,CAND_0004555,37.46,Senior Software Engineer (ML)
375,CAND_0088335,37.46,AI Research Engineer
376,CAND_0039521,37.45,Search Engineer
377,CAND_0048360,37.4,Computer Vision Engineer
378,CAND_0054100,37.4,Junior ML Engineer
379,CAND_0029336,37.38,ML Engineer
380,CAND_0008628,37.37,AI Specialist
381,CAND_0069771,37.36,Junior ML Engineer
382,CAND_0054546,37.32,AI Research Engineer
383,CAND_0009516,37.29,AI Specialist
384,CAND_0011432,37.28,Senior Data Scientist
385,CAND_0024549,37.28,AI Specialist
386,CAND_0070589,37.27,ML Engineer
387,CAND_0057453,37.26,Computer Vision Engineer
388,CAND_0033987,37.22,ML Engineer
389,CAND_0084681,37.22,AI Specialist
390,CAND_0046526,37.17,ML Engineer
391,CAND_0077261,37.17,AI Specialist
392,CAND_0041402,37.16,AI Specialist
393,CAND_0074123,37.13,Data Scientist
394,CAND_0075409,37.11,Junior ML Engineer
395,CAND_0086062,37.08,ML Engineer
396,CAND_0029294,37.06,AI Research Engineer
397,CAND_0001151,37.04,Junior ML Engineer
398,CAND_0080534,36.99,ML Engineer
399,CAND_0080794,36.98,AI Research Engineer
400,CAND_0091580,36.94,Data Scientist
401,CAND_0026913,36.91,AI Specialist
402,CAND_0052498,36.9,ML Engineer
403,CAND_0001819,36.89,ML Engineer
404,CAND_0043304,36.84,Junior ML Engineer
405,CAND_0046353,36.84,ML Engineer
406,CAND_0067201,36.83,ML Engineer
407,CAND_0001056,36.8,Computer Vision Engineer
408,CAND_0009505,36.71,Computer Vision Engineer
409,CAND_0012988,36.7,Senior Software Engineer (ML)
410,CAND_0032089,36.69,ML Engineer
411,CAND_0070544,36.67,AI Research Engineer
412,CAND_0001302,36.65,Computer Vision Engineer
413,CAND_0052706,36.65,AI Research Engineer
414,CAND_0017648,36.63,AI Specialist
415,CAND_0021729,36.63,Junior ML Engineer
416,CAND_0076587,36.57,AI Specialist
417,CAND_0013665,36.56,Senior Software Engineer (ML)
418,CAND_0005883,36.55,Computer Vision Engineer
419,CAND_0089470,36.49,AI Research Engineer
420,CAND_0007052,36.45,ML Engineer
421,CAND_0053934,36.45,Computer Vision Engineer
422,CAND_0030784,36.44,Data Scientist
423,CAND_0046132,36.44,AI Research Engineer
424,CAND_0058300,36.42,AI Research Engineer
425,CAND_0037117,36.39,Computer Vision Engineer
426,CAND_0060315,36.37,Senior Software Engineer (ML)
427,CAND_0080372,36.37,Computer Vision Engineer
428,CAND_0067041,36.36,Data Scientist
429,CAND_0079176,36.33,AI Specialist
430,CAND_0067322,36.29,Data Scientist
431,CAND_0036520,36.28,Data Scientist
432,CAND_0077552,36.28,Senior Software Engineer (ML)
433,CAND_0075138,36.25,AI Research Engineer
434,CAND_0088354,36.25,Junior ML Engineer
435,CAND_0055673,36.21,Data Scientist
436,CAND_0077067,36.2,AI Specialist
437,CAND_0054377,36.19,AI Research Engineer
438,CAND_0094728,36.18,AI Specialist
439,CAND_0027723,36.14,ML Engineer
440,CAND_0003506,36.11,Computer Vision Engineer
441,CAND_0053823,36.1,Junior ML Engineer
442,CAND_0006833,36.07,AI Research Engineer
443,CAND_0065786,36.07,AI Specialist
444,CAND_0083637,36.07,ML Engineer
445,CAND_0026942,36.05,Junior ML Engineer
446,CAND_0065991,36.05,Data Scientist
447,CAND_0047542,36.01,Senior Software Engineer (ML)
448,CAND_0089546,36.01,Machine Learning Engineer
449,CAND_0072547,35.96,Senior Software Engineer (ML)
450,CAND_0088378,35.92,AI Research Engineer
451,CAND_0080102,35.9,Junior ML Engineer
452,CAND_0034849,35.89,AI Research Engineer
453,CAND_0069773,35.88,AI Research Engineer
454,CAND_0078508,35.87,AI Research Engineer
455,CAND_0073883,35.85,AI Specialist
456,CAND_0026424,35.84,Senior Software Engineer (ML)
457,CAND_0040677,35.84,AI Research Engineer
458,CAND_0079888,35.84,Junior ML Engineer
459,CAND_0096209,35.83,ML Engineer
460,CAND_0044091,35.76,ML Engineer
461,CAND_0046278,35.75,Senior Software Engineer (ML)
462,CAND_0074342,35.66,Data Scientist
463,CAND_0012888,35.63,Junior ML Engineer
464,CAND_0041594,35.63,Computer Vision Engineer
465,CAND_0068892,35.53,Senior Software Engineer (ML)
466,CAND_0041625,35.5,AI Research Engineer
467,CAND_0077296,35.5,Computer Vision Engineer
468,CAND_0002793,35.49,AI Specialist
469,CAND_0020350,35.48,AI Engineer
470,CAND_0094165,35.47,AI Research Engineer
471,CAND_0061479,35.43,ML Engineer
472,CAND_0024203,35.41,Junior ML Engineer
473,CAND_0061156,35.38,Senior Software Engineer (ML)
474,CAND_0052030,35.33,Senior Software Engineer (ML)
475,CAND_0075491,35.33,AI Research Engineer
476,CAND_0061257,35.28,Staff Machine Learning Engineer
477,CAND_0065139,35.27,AI Research Engineer
478,CAND_0087494,35.26,ML Engineer
479,CAND_0089012,35.24,AI Specialist
480,CAND_0061696,35.23,Senior Software Engineer (ML)
481,CAND_0019845,35.21,AI Specialist
482,CAND_0044565,35.17,Data Scientist
483,CAND_0075504,35.17,Junior ML Engineer
484,CAND_0014909,35.13,Computer Vision Engineer
485,CAND_0022232,35.12,Senior Software Engineer (ML)
486,CAND_0008618,35.09,Computer Vision Engineer
487,CAND_0096409,35.09,Computer Vision Engineer
488,CAND_0057134,35.08,Data Scientist
489,CAND_0072688,35.05,Data Scientist
490,CAND_0048265,35.02,AI Research Engineer
491,CAND_0055960,35.01,AI Specialist
492,CAND_0015478,34.96,ML Engineer
493,CAND_0063328,34.94,Computer Vision Engineer
494,CAND_0021973,34.93,ML Engineer
495,CAND_0030780,34.89,AI Specialist
496,CAND_0082262,34.87,Senior Software Engineer (ML)
497,CAND_0049340,34.86,Junior ML Engineer
498,CAND_0065517,34.86,AI Research Engineer
499,CAND_0001131,34.81,ML Engineer
500,CAND_0026362,34.81,Data Scientist
501,CAND_0047492,34.79,ML Engineer
502,CAND_0090584,34.76,ML Engineer
503,CAND_0029449,34.75,ML Engineer
504,CAND_0035653,34.75,Data Scientist
505,CAND_0047907,34.75,AI Research Engineer
506,CAND_0054829,34.74,Computer Vision Engineer
507,CAND_0036604,34.69,ML Engineer
508,CAND_0095184,34.68,AI Research Engineer
509,CAND_0094685,34.66,AI Research Engineer
510,CAND_0015493,34.65,Data Scientist
511,CAND_0042359,34.61,Data Scientist
512,CAND_0091254,34.6,AI Research Engineer
513,CAND_0082086,34.59,Senior Software Engineer (ML)
514,CAND_0036416,34.57,ML Engineer
515,CAND_0071722,34.52,ML Engineer
516,CAND_0001126,34.51,Junior ML Engineer
517,CAND_0094482,34.5,Junior ML Engineer
518,CAND_0054703,34.49,Computer Vision Engineer
519,CAND_0034177,34.48,Senior Software Engineer (ML)
520,CAND_0001707,34.45,Data Scientist
521,CAND_0038949,34.45,ML Engineer
522,CAND_0073917,34.44,Data Scientist
523,CAND_0053527,34.43,Junior ML Engineer
524,CAND_0068040,34.43,AI Specialist
525,CAND_0088526,34.41,Senior Software Engineer (ML)
526,CAND_0096823,34.41,Data Scientist
527,CAND_0069995,34.4,Data Scientist
528,CAND_0073139,34.4,ML Engineer
529,CAND_0030207,34.37,Data Scientist
530,CAND_0009722,34.34,Computer Vision Engineer
531,CAND_0091899,34.29,Senior Software Engineer (ML)
532,CAND_0059520,34.27,AI Research Engineer
533,CAND_0097860,34.27,Junior ML Engineer
534,CAND_0007008,34.25,Senior Software Engineer (ML)
535,CAND_0014683,34.25,Senior Software Engineer (ML)
536,CAND_0031143,34.25,ML Engineer
537,CAND_0069220,34.25,ML Engineer
538,CAND_0074098,34.25,Data Scientist
539,CAND_0051936,34.22,AI Research Engineer
540,CAND_0017147,34.21,AI Specialist
541,CAND_0050297,34.2,Junior ML Engineer
542,CAND_0077498,34.2,Senior Software Engineer (ML)
543,CAND_0043450,34.19,AI Research Engineer
544,CAND_0088385,34.19,Computer Vision Engineer
545,CAND_0099581,34.19,AI Specialist
546,CAND_0032955,34.14,Computer Vision Engineer
547,CAND_0051593,34.14,AI Specialist
548,CAND_0006850,34.13,Data Scientist
549,CAND_0053422,34.13,Data Scientist
550,CAND_0042690,34.1,Senior Software Engineer (ML)
551,CAND_0055624,34.09,Data Scientist
552,CAND_0074339,34.09,ML Engineer
553,CAND_0068012,34.06,Junior ML Engineer
554,CAND_0065633,34.05,Data Scientist
555,CAND_0068081,34.01,Computer Vision Engineer
556,CAND_0068596,34.01,AI Research Engineer
557,CAND_0078262,34.0,ML Engineer
558,CAND_0016801,33.98,ML Engineer
559,CAND_0020049,33.97,Senior Software Engineer (ML)
560,CAND_0033650,33.96,Junior ML Engineer
561,CAND_0045778,33.96,Senior Software Engineer (ML)
562,CAND_0043637,33.9,Junior ML Engineer
563,CAND_0016657,33.88,AI Research Engineer
564,CAND_0022274,33.88,AI Research Engineer
565,CAND_0048375,33.88,Computer Vision Engineer
566,CAND_0071432,33.88,Data Scientist
567,CAND_0062561,33.85,ML Engineer
568,CAND_0074024,33.85,AI Specialist
569,CAND_0003575,33.81,Data Scientist
570,CAND_0056058,33.81,Junior ML Engineer
571,CAND_0023541,33.77,AI Specialist
572,CAND_0094292,33.76,AI Specialist
573,CAND_0003791,33.72,ML Engineer
574,CAND_0042441,33.71,AI Research Engineer
575,CAND_0012798,33.7,AI Research Engineer
576,CAND_0073504,33.68,Junior ML Engineer
577,CAND_0032179,33.65,Computer Vision Engineer
578,CAND_0038328,33.64,Junior ML Engineer
579,CAND_0052744,33.64,Senior Software Engineer (ML)
580,CAND_0032271,33.63,AI Research Engineer
581,CAND_0091712,33.63,Data Scientist
582,CAND_0087264,33.6,Junior ML Engineer
583,CAND_0045027,33.59,Senior Software Engineer (ML)
584,CAND_0019288,33.58,AI Research Engineer
585,CAND_0080051,33.58,Data Scientist
586,CAND_0095042,33.57,Senior Software Engineer (ML)
587,CAND_0008978,33.56,Junior ML Engineer
588,CAND_0010283,33.56,AI Specialist
589,CAND_0005191,33.55,AI Specialist
590,CAND_0006354,33.52,Data Scientist
591,CAND_0046020,33.51,ML Engineer
592,CAND_0038368,33.48,ML Engineer
593,CAND_0048534,33.47,Computer Vision Engineer
594,CAND_0050707,33.45,AI Specialist
595,CAND_0058882,33.45,Computer Vision Engineer
596,CAND_0053605,33.44,Senior Software Engineer (ML)
